alias,source,project,id,atd_item,text,introducing_commit_hash,introducing_date,filename,number_of_changes,fixing_commit_hash,payment_date,last_known_path,intro-FAN-IN,intro-FAN-OUT,payment-FAN-IN,payment-FAN-OUT,intro-sloc,payment-sloc,intro-complexity,payment-complexity,normalized_intro-FAN-IN,normalized_intro-FAN-OUT,normalized_payment-FAN-IN,normalized_payment-FAN-OUT
ATD-5,,,,HBASE-13871,,,,hbase-client/src/main/java/org/apache/hadoop/hbase/client/ScannerCallable.java,24,,,hbase-client/src/main/java/org/apache/hadoop/hbase/client/ScannerCallable.java,12,23,15,30,244,323,53,53,0.0491803278688525,0.0942622950819672,0.0464396284829721,0.0928792569659443
ATD-5,,,,HBASE-13871,,,,hbase-client/src/main/java/org/apache/hadoop/hbase/filter/Filter.java,12,,,hbase-client/src/main/java/org/apache/hadoop/hbase/filter/Filter.java,80,3,96,4,51,46,3,3,1.56862745098039,0.0588235294117647,2.08695652173913,0.0869565217391304
ATD-5,,,,HBASE-13871,,,,hbase-client/src/main/java/org/apache/hadoop/hbase/filter/FilterList.java,12,,,hbase-client/src/main/java/org/apache/hadoop/hbase/filter/FilterList.java,17,7,24,9,314,324,88,88,0.054140127388535,0.0222929936305732,0.0740740740740741,0.0277777777777778
ATD-5,,,,HBASE-13871,,,,hbase-client/src/main/java/org/apache/hadoop/hbase/filter/PrefixFilter.java,14,,,hbase-client/src/main/java/org/apache/hadoop/hbase/filter/PrefixFilter.java,19,7,22,10,77,83,23,23,0.246753246753247,0.0909090909090909,0.265060240963855,0.120481927710843
ATD-5,,,,HBASE-13871,,,,hbase-client/src/main/java/org/apache/hadoop/hbase/protobuf/ProtobufUtil.java,69,,,hbase-client/src/main/java/org/apache/hadoop/hbase/protobuf/ProtobufUtil.java,138,56,160,68,1807,2131,427,427,0.0763696734919757,0.0309905921416713,0.0750821210699202,0.0319099014547161
ATD-5,,,,HBASE-13871,,,,hbase-common/src/main/java/org/apache/hadoop/hbase/util/Bytes.java,26,,,hbase-common/src/main/java/org/apache/hadoop/hbase/util/Bytes.java,714,3,838,7,1107,1449,291,291,0.644986449864499,0.002710027100271,0.578329882677709,0.00483091787439614
ATD-5,,,,HBASE-13871,,,,hbase-protocol/src/main/java/org/apache/hadoop/hbase/protobuf/generated/ClientProtos.java,18,,,hbase-protocol/src/main/java/org/apache/hadoop/hbase/protobuf/generated/ClientProtos.java,65,4,86,5,21951,24626,4864,4864,0.00296114072251834,0.000182224044462667,0.00349224396978803,0.000203037440103955
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java,191,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java,171,100,130,132,3691,5410,804,804,0.0463289081549716,0.0270929287455974,0.0240295748613678,0.0243992606284658
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java,69,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java,33,60,36,72,1413,1654,257,257,0.0233545647558386,0.0424628450106157,0.0217654171704958,0.0435308343409915
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/KeyValueHeap.java,15,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/KeyValueHeap.java,8,6,9,9,210,225,52,52,0.0380952380952381,0.0285714285714286,0.04,0.04
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/KeyValueScanner.java,7,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/KeyValueScanner.java,28,2,30,3,26,27,0,0,1.07692307692308,0.0769230769230769,1.11111111111111,0.111111111111111
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStore.java,9,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStore.java,8,17,5,7,590,22,148,148,0.0135593220338983,0.0288135593220339,0.227272727272727,0.318181818181818
