alias,source,project,id,non_atd_item,text,introducing_commit_hash,introducing_date,filename,number_of_changes,fixing_commit_hash,payment_date,last_known_path,intro-FAN-IN,intro-FAN-OUT,payment-FAN-IN,payment-FAN-OUT,intro-sloc,payment-sloc,intro-complexity,payment-complexity,normalized_intro-FAN-IN,normalized_intro-FAN-OUT,normalized_payment-FAN-IN,normalized_payment-FAN-OUT,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/RabbitMQEndpoint.java,24,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/RabbitMQEndpoint.java,10,23,15,22,643,528,148,127,0.015552099533437,0.0357698289269051,0.0284090909090909,0.0416666666666667,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/RabbitMQMessageConverter.java,5,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/RabbitMQMessageConverter.java,4,4,6,6,160,232,45,62,0.025,0.025,0.0258620689655172,0.0258620689655172,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/RabbitMQProducer.java,4,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/RabbitMQProducer.java,2,21,2,21,231,263,52,60,0.00865800865800866,0.0909090909090909,0.00760456273764259,0.0798479087452472,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/ReplyToType.java,1,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/ReplyToType.java,2,0,2,0,4,4,0,0,0.5,0,0.5,0,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/CorrelationListener.java,1,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/CorrelationListener.java,1,0,1,0,6,6,0,0,0.166666666666667,0,0.166666666666667,0,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/CorrelationTimeoutMap.java,2,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/CorrelationTimeoutMap.java,2,3,2,3,84,84,19,19,0.0238095238095238,0.0357142857142857,0.0238095238095238,0.0357142857142857,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/MessageSentCallback.java,1,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/MessageSentCallback.java,1,0,1,0,5,5,0,0,0.2,0,0.2,0,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/QueueReplyHandler.java,1,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/QueueReplyHandler.java,1,3,1,3,9,9,1,1,0.111111111111111,0.333333333333333,0.111111111111111,0.333333333333333,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/ReplyHandler.java,1,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/ReplyHandler.java,4,0,4,0,6,6,0,0,0.666666666666667,0,0.666666666666667,0,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/ReplyHolder.java,3,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/ReplyHolder.java,2,2,2,2,51,51,10,10,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0392156862745098,
